0,1,2,3,4,5,6,7,8,9,10,11,12,13
Väpnarvägen 33,4880000.0,Starting price: 4500000,Price trend:  +380 000 kr (+8 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 4,Living area: 95,Biarea:  6 m²,Tomtarea:  899 m²,Uteplats:  Ja,Year built: 1971,Driftskostnad:  53 500 kr/år,Number of visits: 1449
HERMAN HANSGATAN 23,3750000.0,Starting price: 3750000,Price trend:  0 kr (±0 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 5,Living area: 146,Tomtarea:  351 m²,Year built: 1978,Driftskostnad:  44 006 kr/år,Number of visits: 8463,,
Flottiljvägen 168,5375000.0,Starting price: 5495000,Price trend:  -120 000 kr (-2 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 5,Living area: 133,Biarea:  9 m²,Tomtarea:  268 m²,Year built: 2011,Driftskostnad:  34 873 kr/år,Number of visits: 1784,
Päronvägen 14,3990000.0,Starting price: 3795000,Price trend:  +195 000 kr (+5 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 5,Living area: 160,Tomtarea:  313 m²,Year built: 1991,Driftskostnad:  31 535 kr/år,Number of visits: 3986,,
Borgarvägen 5,4700000.0,Starting price: 4595000,Price trend:  +105 000 kr (+2 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 5,Living area: 138,Tomtarea:  347 m²,Year built: 2017,Driftskostnad:  35 503 kr/år,Number of visits: 2806,,
Rödinggatan 7,2190000.0,Starting price: 2000000,Price trend:  +190 000 kr (+10 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 3,Living area: 107,Tomtarea:  484 m²,Year built: 1985,Driftskostnad:  38 686 kr/år,Number of visits: 3941,,
Örnskölds väg 7,3450000.0,Starting price: 3495000,Price trend:  -45 000 kr (-1 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 4,Living area: 105,Biarea:  15 m²,Tomtarea:  385 m²,Year built: 1960,Driftskostnad:  40 365 kr/år,Number of visits: 2321,
Ålgrytevägen 178,6200000.0,Starting price: 5795000,Price trend:  +405 000 kr (+7 %),Property type:  Kedjehus,Tenure type:  Äganderätt,Number of rooms: 7,Living area: 178,Tomtarea:  345 m²,Balcony:  Ja,Uteplats:  Ja,Year built: 1966,Driftskostnad:  51 811 kr/år,Number of visits: 1922
