House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Dalagatan 68A",Vasastan,Stockholm,Lägenhet,Andelibostadsförening,2,3,5,No,Yes,66,0,0,"Before 1900s",3759.00,8800.00,2024-05-30,6.95,0.55,6.40
"Infanterigatan 15",VästraSkogen,Soln,Lägenhet,Bostadsrätt,1,9,9,Yes,No,44.5,0,0,1951-2000,2572.00,6360.00,2024-05-30,2.40,0.04,2.36
"Tollare kaj 4, 7/8tr",Tollare,Nack,Lägenhet,Bostadsrätt,3,7,8,Yes,Yes,87,0,0,2011-present,5041.00,3000.00,2024-05-30,4.88,-0.08,4.95
"Långholmsgatan 9C",Hornstull,Stockholm,Lägenhet,Bostadsrätt,2,2,0,Yes,Yes,56,0,0,1900-1950,4272.00,9186.00,2024-05-30,4.95,0.15,4.80
"Nordhemsgatan 30",Linné,Göteborg,Lägenhet,Bostadsrätt,3,2,4,No,Yes,87,0,0,"Before 1900s",5768.00,4500.00,2024-05-30,5.50,0.16,5.34
"Sockenvägen 369",GamlaEnskede,Stockholm,Lägenhet,Bostadsrätt,2,3,3,No,Yes,40,0,0,1900-1950,2398.00,4200.00,2024-05-30,2.50,0.14,2.36
"Trädgårdsvägen 24",Runby,UpplandsVäsb,Lägenhet,Bostadsrätt,3,2,3,No,Yes,74,0,0,1951-2000,2666.00,5760.00,2024-05-30,2.20,-0.02,2.21
"Vulcanusgatan 9, 5 tr",VasastanAtlas,Stockholm,Lägenhet,Bostadsrätt,1,5,6,Yes,Yes,23,0,0,1900-1950,1906.00,6360.00,2024-05-30,2.75,0.32,2.43
"Lergöksgatan 13",VästraFrölunda,Göteborg,Lägenhet,Bostadsrätt,2,3,3,Yes,Yes,57,0,0,2011-present,4376.00,2700.00,2024-05-30,2.20,-0.05,2.24
"Fridensborgsvägen 159",Järvastaden,Soln,Lägenhet,Bostadsrätt,2,2,0,Yes,Yes,53.5,0,0,2011-present,3320.00,6360.00,2024-05-30,3.00,0.08,2.92
"Bjulevägen 61",Stureby,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,Yes,48,0,0,1900-1950,3309.00,4300.00,2024-05-30,2.40,0.21,2.19
"Vasavägen 11",KatrineholmCentralt,Katrineholm,Lägenhet,Bostadsrätt,3,4,4,Yes,No,85,0,0,1951-2000,4992.00,1080.00,2024-05-30,1.30,-0.12,1.41
"Mandolingatan 3",Ruddalen,Göteborg,Lägenhet,Bostadsrätt,3,8,12,Yes,Yes,68,0,0,1951-2000,3265.00,6360.00,2024-05-30,2.40,0.00,2.40
"Midsommarparken 5A",Midsommarkransen,Stockholm,Lägenhet,Bostadsrätt,3,1,4,No,No,70,0,0,1900-1950,5182.00,6360.00,2024-05-30,5.00,0.43,4.57
"Pildammsvägen 8C",Rådmansvången,Malm,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,52,0,0,2011-present,4294.00,5037.00,2024-05-30,3.00,-0.05,3.04
"Haga parkgata 17A",Haga,Västerå,Lägenhet,Bostadsrätt,2,1,3,No,Yes,55,0,0,1900-1950,3678.00,3600.00,2024-05-30,0.90,0.13,0.77
"Aschebergsgatan 32",Vasastaden,Göteborg,Lägenhet,Bostadsrätt,2,3,6,Yes,Yes,71,0,0,1900-1950,3269.00,4600.00,2024-05-30,4.78,0.62,4.16
"Gökgatan 6B",Kinna,Mark,Lägenhet,Bostadsrätt,1,1,3,No,No,25.5,0,0,1951-2000,1543.00,5460.00,2024-05-30,0.60,-0.05,0.64
"Vinodlargatan 8, 4 tr!",Liljeholmskajen,Stockholm,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,62.5,0,0,2001-2010,4239.00,5500.00,2024-05-30,5.00,0.23,4.77
"Hjortmossegatan 143",Hjortmossen,Trollhättan,Lägenhet,Bostadsrätt,2,3,3,No,Yes,55,0,0,1951-2000,3590.00,3600.00,2024-05-30,1.00,0.01,0.99
"Bellevuevägen 4C",Slottsstaden/Dammfri,Malm,Lägenhet,Bostadsrätt,2,1,3,No,Yes,53.5,0,0,1900-1950,3497.00,2640.00,2024-05-30,1.75,0.00,1.75
"Smedsgatan 3B",Centralt,Sandviken,Lägenhet,Bostadsrätt,3,1,3,No,Yes,69.9,0,0,1951-2000,4248.00,3489.00,2024-05-30,1.00,-0.20,1.19
"Hildebergsvägen 28",Liljeholmskajen,Stockholm,Lägenhet,Bostadsrätt,3,2,4,Yes,Yes,80,0,0,2001-2010,5036.00,9000.00,2024-05-30,5.40,0.21,5.19
"Kruthornsvägen 62A",Edsberg,Sollentun,Lägenhet,Bostadsrätt,4,6,7,Yes,Yes,87,0,0,1951-2000,6179.00,7500.00,2024-05-30,2.55,0.25,2.30
"Magnus Ladulåsgatan 35",Södermalm,Stockholm,Lägenhet,Bostadsrätt,2,6,6,Yes,No,51,0,0,1951-2000,2418.00,7560.00,2024-05-30,4.10,0.36,3.74
"Wingårdsgatan 9A",Kålltorp,Göteborg,Lägenhet,Bostadsrätt,2,4,4,No,No,35.2,0,0,1900-1950,2443.00,3600.00,2024-05-30,2.28,-0.04,2.32
"Spejaregatan 25",Bågen,Skar,Lägenhet,Bostadsrätt,3,1,3,No,Yes,67,0,0,1951-2000,3910.00,5800.00,2024-05-30,0.45,-0.03,0.47
"Segevångsgatan 15A",Segevång,Malm,Lägenhet,Bostadsrätt,4,2,4,No,Yes,82.5,0,0,1951-2000,5413.00,6360.00,2024-05-30,1.65,-0.05,1.70
"Sveavägen 134, 3 tr - Gårdsläge",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,3,5,Yes,Yes,39.1,0,0,1900-1950,2687.00,4548.00,2024-05-30,3.85,0.65,3.20
"Martallsgatan 125",ÖstraVi,Gotland,Lägenhet,Bostadsrätt,2,1,2,No,No,63,0,0,1951-2000,3757.00,8448.00,2024-05-30,1.85,0.23,1.63
"Svartviksslingan 94, vån 7/7",Minneberg,Stockholm,Lägenhet,Bostadsrätt,2,7,7,Yes,Yes,63.5,0,0,1951-2000,4201.00,6600.00,2024-05-30,4.00,0.36,3.64
"Trelleborgsgatan 1A",Folketspark,Malm,Lägenhet,Bostadsrätt,2,2,4,No,Yes,64,0,0,1900-1950,3979.00,5640.00,2024-05-30,2.20,0.00,2.20
"Stenkvistavägen 1",Söder,Eskilstun,Lägenhet,Bostadsrätt,3,4,8,Yes,Yes,71.5,0,0,1951-2000,3601.00,5000.00,2024-05-30,1.60,0.16,1.44
"Rindögatan 4 - 6 tr",Östermalm/Gärdet,Stockholm,Lägenhet,Bostadsrätt,1,6,7,Yes,Yes,23,0,0,1900-1950,1931.00,5892.00,2024-05-30,2.50,0.16,2.34
"Börjegatan 42A",Luthagen,Uppsal,Lägenhet,Bostadsrätt,3,3,3,No,Yes,67.1,0,0,1900-1950,3694.00,6660.00,2024-05-30,2.50,0.27,2.23
"Jumkilsgatan 14A",Luthagen,Uppsal,Lägenhet,Bostadsrätt,3,2,3,No,Yes,70.8,0,0,1951-2000,2902.00,6600.00,2024-05-30,2.80,0.21,2.59
"Fröjavägen 12 A",Frösön,Östersund,Lägenhet,Bostadsrätt,3,4,4,No,Yes,68.5,0,0,1951-2000,4479.00,7328.00,2024-05-30,1.60,-0.10,1.69
"Solgatan 8, vån 7",Rudviken,Soln,Lägenhet,Bostadsrätt,2,7,0,Yes,Yes,58,0,0,2011-present,3952.00,6360.00,2024-05-30,3.20,0.11,3.09
"Hovsgatan 14B",Centrum,Växj,Lägenhet,Bostadsrätt,4,3,3,No,Yes,104,0,0,2011-present,4120.00,6360.00,2024-05-30,3.20,-0.15,3.34
"Norrlandsgatan 44 A",Luthagen,Uppsal,Lägenhet,Bostadsrätt,2,2,0,No,Yes,57.5,0,0,1951-2000,3932.00,5352.00,2024-05-30,2.00,0.01,1.99
"John bergs plan 4",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,2,2,6,Yes,Yes,53,0,0,2011-present,4632.00,6360.00,2024-05-30,3.98,0.60,3.38
"Stora gatan 1D",Östermalm,Västerå,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,95,0,0,2001-2010,6425.00,7080.00,2024-05-30,3.10,0.21,2.89
"Hagagatan 8C",Haga,Karlstad,Lägenhet,Bostadsrätt,3,3,3,No,No,74,0,0,1900-1950,5032.00,10319.00,2024-05-30,1.68,-0.06,1.74
"Ekholmsvägen 64B",Ekholmen,Linköping,Lägenhet,Bostadsrätt,3,2,3,No,Yes,71.5,0,0,1951-2000,3781.00,1080.00,2024-05-30,1.10,0.08,1.02
"Trappgränd 3",Råsunda,Soln,Lägenhet,Bostadsrätt,1,2,4,No,No,33,0,0,1900-1950,2010.00,6000.00,2024-05-30,2.00,0.38,1.62
"Stenströmsgatan 7A",Kålltorp,Göteborg,Lägenhet,Bostadsrätt,2,2,2,No,Yes,53,0,0,2011-present,2594.00,6360.00,2024-05-30,3.00,0.06,2.94
"Knotavägen 1",Västerås,Västerå,Lägenhet,Bostadsrätt,4,4,4,Yes,Yes,106.5,0,0,1951-2000,6536.00,7800.00,2024-05-30,1.05,-0.09,1.14
"Mjölnerbacken 71",Rissne/Sundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,2,0,Yes,Yes,63.4,0,0,1951-2000,3159.00,6360.00,2024-05-30,2.20,0.14,2.06
"Stationsvägen 17",RönningeCentrum,Salem,Lägenhet,Bostadsrätt,2,0,0,No,Yes,64,0,0,2011-present,4812.00,6360.00,2024-05-30,2.10,0.00,2.10
"Drivbänksvägen 13A",HässelbyNorraVillastad,Stockholm,Lägenhet,Bostadsrätt,2,3,3,Yes,Yes,46,0,0,2011-present,3330.00,3900.00,2024-05-30,1.95,-0.05,2.00
"Herculesgatan 2",Barkarbystaden,Järfäll,Lägenhet,Bostadsrätt,5,1,5,Yes,Yes,93,0,0,2011-present,6328.00,6360.00,2024-05-30,4.10,-0.10,4.19
"Brändströmsgatan 18A",Centralt/Väster,Gävl,Lägenhet,Bostadsrätt,2,3,3,No,Yes,47,0,0,1900-1950,3621.00,6984.00,2024-05-30,1.30,0.00,1.30
"S:t Persgatan 37",Centralt,Norrköping,Lägenhet,Bostadsrätt,4,3,6,Yes,Yes,94,0,0,1951-2000,6465.00,3000.00,2024-05-30,1.90,-0.06,1.95
"Rurik Holms väg 11A",Floda,Lerum,Lägenhet,Bostadsrätt,3,3,5,Yes,Yes,70,0,0,2011-present,4489.00,6360.00,2024-05-30,2.60,-0.05,2.64
"Oktobervägen 3",Sundsbruk,Sundsvall,Lägenhet,Bostadsrätt,5,1,0,No,Yes,115.5,0,0,1951-2000,5900.00,17880.00,2024-05-30,1.50,-0.13,1.63
"Norra Kyrkogatan 1A",Tingvallastaden,Karlstad,Lägenhet,Bostadsrätt,3,1,5,Yes,Yes,85,0,0,2011-present,5598.00,6504.00,2024-05-30,2.60,-0.05,2.64
"Margit Sahlins gata 1",Kapellgärdet,Uppsal,Lägenhet,Bostadsrätt,3,2,0,Yes,Yes,72,0,0,2011-present,4125.00,7596.00,2024-05-30,3.00,0.06,2.94
"Östra Holmgatan 4",Kålgården,Jönköping,Lägenhet,Bostadsrätt,3,2,5,Yes,Yes,68,0,0,2011-present,4394.00,4200.00,2024-05-30,2.75,-0.10,2.85
"Karlaplan 21C",Östermalm,Stockholm,Lägenhet,Bostadsrätt,3,0,0,Yes,Yes,70,0,0,1951-2000,3291.00,6360.00,2024-05-30,8.60,-0.35,8.95
"Blåeldsbågen 43A",Sturefors,Linköping,Lägenhet,Bostadsrätt,3,0,0,No,Yes,69,0,0,2011-present,2594.00,6360.00,2024-05-30,1.60,-0.10,1.69
"Odenskogsvägen 54",Odenskog,Östersund,Lägenhet,Bostadsrätt,4,4,4,Yes,Yes,93,0,0,1951-2000,4698.00,6360.00,2024-05-30,1.55,0.00,1.55
"Skridskovägen 7",Västertorp/Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,43,0,0,1900-1950,3308.00,6360.00,2024-05-30,2.50,0.61,1.89
"Ludvigsbergsgatan 1, 4tr",Maria,Stockholm,Lägenhet,Bostadsrätt,4,4,0,Yes,Yes,106,0,0,1951-2000,4076.00,5237.00,2024-05-30,8.75,0.45,8.30
"Konstapelgränd 30",Körfältet,Östersund,Lägenhet,Bostadsrätt,1,0,2,No,Yes,45,0,0,1951-2000,2820.00,6322.00,2024-05-30,0.75,0.05,0.70
"Norrgården 22",Norrgården,Vallentun,Lägenhet,Bostadsrätt,4,2,3,No,Yes,96.5,0,0,1951-2000,6647.00,3600.00,2024-05-30,2.40,0.01,2.39
"Musikgränd 3C",Vallastaden,Linköping,Lägenhet,Bostadsrätt,1,3,4,Yes,Yes,20,0,0,2011-present,1820.00,4440.00,2024-05-30,1.30,-0.05,1.34
"Jenny Nyströms gata 10",Fruängen,Stockholm,Lägenhet,Bostadsrätt,2,1,2,No,Yes,65.5,0,0,1951-2000,5401.00,7728.00,2024-05-30,2.20,-0.20,2.40
"Edövägen 7I",VästraOrminge,Nack,Lägenhet,Bostadsrätt,1,5,6,Yes,Yes,29,0,0,2011-present,2594.00,6360.00,2024-05-30,1.85,-0.06,1.91
"Eskadervägen 48",NäsbyPark,Täb,Lägenhet,Bostadsrätt,3,5,8,Yes,Yes,75,0,0,1951-2000,4013.00,6360.00,2024-05-30,3.50,0.11,3.39
"Norra Fjädermolnsgatan 23",Länsmansgården,Göteborg,Lägenhet,Bostadsrätt,3,4,5,Yes,Yes,65,0,0,2011-present,6049.00,5208.00,2024-05-30,2.15,0.00,2.15
"Årstaskogs Väg 9A",Liljeholmen/Årstaberg,Stockholm,Lägenhet,Bostadsrätt,3,0,16,Yes,Yes,73,0,0,2011-present,4548.00,7116.00,2024-05-30,5.28,0.03,5.25
"Österled 1A",Centralt,Arbog,Lägenhet,Bostadsrätt,1,1,3,No,Yes,38,0,0,1900-1950,3037.00,5220.00,2024-05-30,0.14,-0.01,0.15
"Maskinistvägen 7",BolinderStrand,Järfäll,Lägenhet,Bostadsrätt,4,1,0,Yes,Yes,88,0,0,2011-present,5105.00,15660.00,2024-05-30,3.50,-0.17,3.67
"Sockertoppen 5",ÖstraStaffasntorp,Staffanstorp,Lägenhet,Bostadsrätt,4,1,2,No,Yes,90,0,0,1951-2000,5711.00,6360.00,2024-05-30,1.90,0.00,1.90
"Kung Karls väg 7 C",Kungahusen,Trelleborg,Lägenhet,Bostadsrätt,3,1,3,No,Yes,82,0,0,1951-2000,6297.00,1944.00,2024-05-30,1.30,-0.12,1.42
"Magasinsgatan 14B",Centralt,Fal,Lägenhet,Bostadsrätt,2,1,0,No,Yes,41,0,0,1900-1950,2465.00,6360.00,2024-05-30,1.35,-0.04,1.39
"Kastalagatan 2",Kungälv,Kungälv,Lägenhet,Bostadsrätt,4,3,3,No,Yes,95,0,0,1951-2000,7691.00,7440.00,2024-05-30,2.30,-0.10,2.39
"Parkvägen 17, Vån 2",Råsunda,Soln,Lägenhet,Bostadsrätt,2,2,3,No,Yes,42,0,0,1900-1950,2286.00,6360.00,2024-05-30,3.00,0.16,2.84
"Dragonvägen 37",CentralaVäsby,UpplandsVäsb,Lägenhet,Bostadsrätt,2,1,4,Yes,Yes,62,0,0,2001-2010,4905.00,3600.00,2024-05-30,1.90,0.00,1.90
"Ålstensgatan 24",Ålsten,Stockholm,Lägenhet,Bostadsrätt,3,3,3,No,Yes,81,0,0,1900-1950,5400.00,6360.00,2024-05-30,9.00,-0.19,9.19
"Tulegatan 2A",CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,2,0,No,Yes,74,0,0,1900-1950,3947.00,6360.00,2024-05-30,4.00,-0.05,4.05
"Pilvägen 54",Helenelundscentrum,Sollentun,Lägenhet,Bostadsrätt,3,1,2,No,Yes,77.7,0,0,1951-2000,5337.00,6360.00,2024-05-30,2.80,0.00,2.80
"Piruettvägen 4, vån 5",Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,2,5,11,Yes,Yes,63,0,0,2001-2010,4330.00,4200.00,2024-05-30,3.50,0.11,3.39
"S:t Göransgatan 22",Fålhagen,Uppsal,Lägenhet,Bostadsrätt,2,2,0,No,No,51.5,0,0,1900-1950,3450.00,6360.00,2024-05-30,1.70,0.17,1.53
"Roskildevägen 13A",Pildammarna,Malm,Lägenhet,Bostadsrätt,5,1,5,Yes,Yes,140,0,0,1900-1950,6478.00,11400.00,2024-05-30,5.00,0.11,4.89
"Östra Finnbodavägen 35",Saltsjöqvarn,Nack,Lägenhet,Bostadsrätt,3,1,5,Yes,Yes,77,0,0,2011-present,6113.00,9360.00,2024-05-30,7.90,0.11,7.79
"Multrågatan 126",VällingbyRåcksta,Stockholm,Lägenhet,Bostadsrätt,4,3,3,No,Yes,90,0,0,1951-2000,7338.00,6700.00,2024-05-30,2.40,0.01,2.39
"Lindholmsallén 28A",Lindholmen,Göteborg,Lägenhet,Bostadsrätt,2,4,7,Yes,Yes,63,0,0,2011-present,3680.00,7368.00,2024-05-30,3.70,0.06,3.64
"Dalagatan 54",Vasastan,Stockholm,Lägenhet,Andelibostadsförening,4,3,5,Yes,Yes,111,0,0,1900-1950,5401.00,14200.00,2024-05-30,14.40,-0.50,14.90
"Selma Lagerlöfs gata 5",Vallastaden,Linköping,Lägenhet,Bostadsrätt,2,4,0,Yes,Yes,60,0,0,2011-present,3584.00,10968.00,2024-05-30,2.20,-0.05,2.24
"Norra Vägen 32",Halmstadcentrum,Halmstad,Lägenhet,Bostadsrätt,1,2,3,No,No,30,0,0,1951-2000,1875.00,6360.00,2024-05-30,1.30,0.00,1.30
"Disponentgatan 4, 4tr",LillaEssingen,Stockholm,Lägenhet,Bostadsrätt,3,4,5,Yes,Yes,65,0,0,1900-1950,4823.00,7500.00,2024-05-30,5.50,0.11,5.39
"Råstensgatan 12",CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,46,0,0,1900-1950,3960.00,6360.00,2024-05-30,3.00,0.12,2.88
"Östra stallmästaregatan 10",Slottsstaden,Malm,Lägenhet,Bostadsrätt,3,3,4,No,No,70,0,0,1900-1950,5276.00,6360.00,2024-05-30,2.90,-0.05,2.94
"Båstadsgatan 18A",Nobeltorget,Malm,Lägenhet,Bostadsrätt,1,1,4,No,No,22,0,0,1951-2000,1413.00,3900.00,2024-05-30,0.50,0.27,0.23
"Norrbackagatan 25B, vån 1",Vasastan,Stockholm,Lägenhet,Bostadsrätt,3,1,0,Yes,No,60,0,0,1900-1950,4076.00,6360.00,2024-05-30,6.00,-0.50,6.50
"Esplanaden 2",Centralt,Norrtälj,Lägenhet,Bostadsrätt,3,3,6,Yes,Yes,82,0,0,2011-present,6349.00,7000.00,2024-05-30,3.30,0.05,3.25
"Skälderviksplan 11",Årsta,Stockholm,Lägenhet,Bostadsrätt,3,2,0,Yes,Yes,69,0,0,2011-present,7200.00,6360.00,2024-05-30,3.50,0.66,2.84
"Brännkyrkagatan 48",Södermalm,Stockholm,Lägenhet,Bostadsrätt,4,3,5,No,No,110,0,0,"Before 1900s",5784.00,13360.00,2024-05-30,10.60,0.91,9.69
"Terapivägen 18E",Flemingsberg,Hudding,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,37,0,0,1951-2000,2788.00,6000.00,2024-05-30,1.50,0.03,1.47
"Atles gata 5",Hyllie,Malm,Lägenhet,Bostadsrätt,3,5,5,Yes,Yes,75,0,0,2011-present,5423.00,5810.00,2024-05-30,3.50,0.02,3.48
"Primusgatan 62, 7tr",LillaEssingen,Stockholm,Lägenhet,Bostadsrätt,3,7,8,Yes,Yes,69,0,0,2001-2010,5118.00,7500.00,2024-05-30,5.80,-0.30,6.09
"Tulegatan 58A",SundbybergCentrum,Sundbyberg,Lägenhet,Bostadsrätt,2,3,4,No,No,46.5,0,0,2011-present,2594.00,6360.00,2024-05-30,2.98,0.00,2.98
"Östra Banvägen 76",RoslagsNäsby,Täb,Lägenhet,Bostadsrätt,1,2,0,Yes,Yes,35.9,0,0,2001-2010,2783.00,6360.00,2024-05-30,2.10,0.00,2.10
"Krongårdsringen 3",Örnäset,Lule,Lägenhet,Bostadsrätt,3,4,6,Yes,Yes,73.5,0,0,1951-2000,4338.00,6360.00,2024-05-30,1.20,0.11,1.09
"Skärvstensgatan 52",Mariehöjd,Ume,Lägenhet,Bostadsrätt,2,3,7,Yes,Yes,48,0,0,2011-present,3176.00,6360.00,2024-05-30,1.70,0.06,1.64
"Donationsgatan 31B",Stattena,Helsingborg,Lägenhet,Bostadsrätt,3,2,4,No,Yes,74,0,0,1951-2000,3963.00,6600.00,2024-05-30,2.35,-0.13,2.48
"Uggleberget 24",Hovås,Göteborg,Lägenhet,Bostadsrätt,3,5,7,Yes,Yes,81,0,0,2011-present,5072.00,6360.00,2024-05-30,5.15,-0.15,5.30
"Smedvägen 20",Kallhäll,Järfäll,Lägenhet,Bostadsrätt,2,3,3,No,Yes,56,0,0,1951-2000,3868.00,1586.00,2024-05-30,1.99,0.11,1.88
"Viktor sjöströms väg 8",GamlaFilmstaden,Soln,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,66,0,0,2001-2010,4220.00,6360.00,2024-05-30,4.00,0.11,3.89
"Årstaskogs väg 9B, 7tr",Liljeholmen/Liljeholmskajen/Årstaberg,Stockholm,Lägenhet,Bostadsrätt,4,7,16,Yes,Yes,84,0,0,2011-present,5700.00,6000.00,2024-05-30,5.50,0.00,5.50
"Roslagsgatan 15",Vasastan,Stockholm,Lägenhet,Bostadsrätt,3,1,5,Yes,Yes,101,0,0,1900-1950,4766.00,11300.00,2024-05-30,11.50,0.45,11.05
"Lotterivägen 41",Hägerstensåsen,Stockholm,Lägenhet,Bostadsrätt,3,3,3,No,Yes,67,0,0,1900-1950,4607.00,5500.00,2024-05-30,5.20,0.15,5.05
"Karlbergsvägen 84A",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,2,0,No,Yes,63,0,0,1900-1950,4530.00,7200.00,2024-05-30,7.20,0.20,7.00
"Gustaf Dalénsgatan 5C",Kvillebäcken,Göteborg,Lägenhet,Bostadsrätt,3,1,6,Yes,Yes,81,0,0,2011-present,4397.00,6000.00,2024-05-30,3.40,0.01,3.39
"Sjupundsgatan 35",Högsbo,Göteborg,Lägenhet,Bostadsrätt,2,9,10,Yes,Yes,52,0,0,2011-present,3401.00,6010.00,2024-05-30,2.55,0.03,2.53
"Bergsundsgatan 12",Södermalm,Stockholm,Lägenhet,Bostadsrätt,1,0,0,No,Yes,25.1,0,0,2011-present,5300.00,6360.00,2024-05-30,2.80,0.66,2.14
"Brahegatan 40",Östermalm,Stockholm,Lägenhet,Bostadsrätt,1,1,6,Yes,No,36,0,0,"Before 1900s",2756.00,4800.00,2024-05-30,3.48,0.43,3.05
"Norrtullsgatan 63",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,6,6,Yes,Yes,32,0,0,1900-1950,1722.00,4750.00,2024-05-30,3.40,0.61,2.79
"Gröndalsvägen 27, vån 4",Gröndal,Stockholm,Lägenhet,Bostadsrätt,3,4,4,Yes,Yes,66,0,0,1900-1950,3653.00,6360.00,2024-05-30,5.50,1.51,3.99
"Furugatan 150",ÖstraVi,Gotland,Lägenhet,Bostadsrätt,2,1,2,No,Yes,65,0,0,1951-2000,3841.00,7548.00,2024-05-29,2.00,0.06,1.94
"Haga Parkgata 7b",Haga,Västerå,Lägenhet,Bostadsrätt,1,1,3,Yes,Yes,36,0,0,1900-1950,3336.00,4200.00,2024-05-29,0.70,-0.02,0.72
"Eklanda Bäck 156",Eklanda,Mölndal,Lägenhet,Bostadsrätt,2,2,2,No,Yes,64,0,0,1951-2000,4332.00,6504.00,2024-05-29,2.60,0.11,2.49
"Lasarettsgatan 35",Rotudden,Härnösand,Lägenhet,Bostadsrätt,2,1,2,No,Yes,65.5,0,0,1951-2000,5183.00,4080.00,2024-05-29,0.38,-0.01,0.39
"Järdalavägen 102",Ekholmen,Linköping,Lägenhet,Bostadsrätt,3,6,6,Yes,Yes,72,0,0,1951-2000,4311.00,1200.00,2024-05-29,1.70,-0.05,1.74
"Prästgårdsgatan 12A",Luthagen/Stabby,Uppsal,Lägenhet,Bostadsrätt,2,2,4,Yes,Yes,55,0,0,1951-2000,3618.00,4800.00,2024-05-29,2.10,0.22,1.88
"Arbetargatan 28 A, 5 tr",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,2,5,6,Yes,Yes,67,0,0,1951-2000,4289.00,6360.00,2024-05-29,5.75,0.37,5.38
"Norrtullsgatan 30",Vasastan,Stockholm,Lägenhet,Bostadsrätt,2,5,5,Yes,Yes,28,0,0,1900-1950,2035.00,6360.00,2024-05-29,3.00,0.61,2.39
"Hallasvängen 33C",Hallasvängen,Trelleborg,Lägenhet,Bostadsrätt,1,0,3,No,Yes,44,0,0,1951-2000,3044.00,780.00,2024-05-29,0.95,0.00,0.95
"Furusundsgatan 14",Gärdet,Stockholm,Lägenhet,Bostadsrätt,2,6,8,Yes,Yes,40,0,0,1900-1950,3064.00,6000.00,2024-05-29,3.90,0.00,3.90
"Johannes Magnus väg 32",Vallastaden,Linköping,Lägenhet,Bostadsrätt,1,1,4,Yes,Yes,55,0,0,2011-present,4448.00,4920.00,2024-05-29,2.00,-0.35,2.34
"Krukmakargatan 49, 5 tr",Högalid,Stockholm,Lägenhet,Bostadsrätt,3,5,6,Yes,Yes,74,0,0,1951-2000,3748.00,9724.00,2024-05-29,5.65,0.88,4.78
"Tulegatan 71",CentralaSundbyberg,Sundbyberg,Lägenhet,Bostadsrätt,2,3,3,No,Yes,43.5,0,0,1900-1950,3001.00,4492.00,2024-05-29,2.90,0.26,2.64
"Årstavägen 72, 2tr",Årsta,Stockholm,Lägenhet,Bostadsrätt,3,2,6,Yes,Yes,72,0,0,1900-1950,5395.00,7656.00,2024-05-29,3.70,0.64,3.06
"Stora Gungans väg 19",GamlaEnskede,Stockholm,Lägenhet,Bostadsrätt,3,2,2,No,No,86,0,0,1900-1950,4281.00,9908.00,2024-05-29,6.75,0.20,6.55
"Paradisgatan 21 A",GamlaMasthugget,Göteborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,90,0,0,1900-1950,6040.00,10500.00,2024-05-29,5.50,0.10,5.40
"Nämndemansgården 5A",Staffanstorp,Staffanstorp,Lägenhet,Bostadsrätt,2,2,2,No,Yes,68,0,0,1951-2000,4666.00,5230.00,2024-05-29,1.60,0.00,1.60
"Mölndalsvägen 57 A",Almedal,Göteborg,Lägenhet,Bostadsrätt,2,2,3,No,Yes,61,0,0,1900-1950,2687.00,4251.00,2024-05-29,3.00,-0.01,3.01
"Nanna Svartz Gata 6D",Vallastaden,Linköping,Lägenhet,Bostadsrätt,1,1,4,Yes,Yes,23.3,0,0,2011-present,2225.00,960.00,2024-05-29,1.30,-0.10,1.40
"Lasarettsvägen 3",Ektorp,Nack,Lägenhet,Bostadsrätt,2,2,4,Yes,Yes,60,0,0,2001-2010,4330.00,7440.00,2024-05-29,2.90,0.11,2.79
"Övre Husargatan 41",Linnéstaden,Göteborg,Lägenhet,Bostadsrätt,4,2,8,Yes,Yes,81,0,0,1951-2000,5450.00,5150.00,2024-05-29,5.00,0.26,4.74
"Husarviksgatan 16",NorraDjurgårdsstaden,Stockholm,Lägenhet,Bostadsrätt,4,0,0,No,Yes,123,0,0,2011-present,9526.00,6360.00,2024-05-29,14.00,0.86,13.14
