Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Stockholm,53.0,2011-present,Lägenhet,Yes,Yes,3.38
Västerå,95.0,2001-2010,Lägenhet,Yes,Yes,2.89
Karlstad,74.0,1900-1950,Lägenhet,No,No,1.74
Linköping,71.5,1951-2000,Lägenhet,No,Yes,1.02
Soln,33.0,1900-1950,Lägenhet,No,No,1.62
Göteborg,53.0,2011-present,Lägenhet,No,Yes,2.94
Västerå,106.5,1951-2000,Lägenhet,Yes,Yes,1.14
Sundbyberg,63.4,1951-2000,Lägenhet,Yes,Yes,2.06
Salem,64.0,2011-present,Lägenhet,No,Yes,2.1
Stockholm,46.0,2011-present,Lägenhet,Yes,Yes,2.0
Järfäll,93.0,2011-present,Lägenhet,Yes,Yes,4.19
Gävl,47.0,1900-1950,Lägenhet,No,Yes,1.3
Norrköping,94.0,1951-2000,Lägenhet,Yes,Yes,1.95
Lerum,70.0,2011-present,Lägenhet,Yes,Yes,2.64
Sundsvall,115.5,1951-2000,Lägenhet,No,Yes,1.63
Karlstad,85.0,2011-present,Lägenhet,Yes,Yes,2.64
Uppsal,72.0,2011-present,Lägenhet,Yes,Yes,2.94
Jönköping,68.0,2011-present,Lägenhet,Yes,Yes,2.85
Stockholm,70.0,1951-2000,Lägenhet,Yes,Yes,8.95
Linköping,69.0,2011-present,Lägenhet,No,Yes,1.69
Östersund,93.0,1951-2000,Lägenhet,Yes,Yes,1.55
Stockholm,43.0,1900-1950,Lägenhet,Yes,Yes,1.89
Stockholm,106.0,1951-2000,Lägenhet,Yes,Yes,8.3
Östersund,45.0,1951-2000,Lägenhet,No,Yes,0.7
Vallentun,96.5,1951-2000,Lägenhet,No,Yes,2.39
Linköping,20.0,2011-present,Lägenhet,Yes,Yes,1.34
Stockholm,65.5,1951-2000,Lägenhet,No,Yes,2.4
Nack,29.0,2011-present,Lägenhet,Yes,Yes,1.91
Täb,75.0,1951-2000,Lägenhet,Yes,Yes,3.39
Göteborg,65.0,2011-present,Lägenhet,Yes,Yes,2.15
Stockholm,73.0,2011-present,Lägenhet,Yes,Yes,5.25
Arbog,38.0,1900-1950,Lägenhet,No,Yes,0.15
Järfäll,88.0,2011-present,Lägenhet,Yes,Yes,3.67
Staffanstorp,90.0,1951-2000,Lägenhet,No,Yes,1.9
Trelleborg,82.0,1951-2000,Lägenhet,No,Yes,1.42
Fal,41.0,1900-1950,Lägenhet,No,Yes,1.39
Kungälv,95.0,1951-2000,Lägenhet,No,Yes,2.39
Soln,42.0,1900-1950,Lägenhet,No,Yes,2.84
UpplandsVäsb,62.0,2001-2010,Lägenhet,Yes,Yes,1.9
Stockholm,81.0,1900-1950,Lägenhet,No,Yes,9.19
Sundbyberg,74.0,1900-1950,Lägenhet,No,Yes,4.05
Sollentun,77.7,1951-2000,Lägenhet,No,Yes,2.8
Stockholm,63.0,2001-2010,Lägenhet,Yes,Yes,3.39
Uppsal,51.5,1900-1950,Lägenhet,No,No,1.53
Malm,140.0,1900-1950,Lägenhet,Yes,Yes,4.89
Nack,77.0,2011-present,Lägenhet,Yes,Yes,7.79
Stockholm,90.0,1951-2000,Lägenhet,No,Yes,2.39
Göteborg,63.0,2011-present,Lägenhet,Yes,Yes,3.64
Stockholm,111.0,1900-1950,Lägenhet,Yes,Yes,14.9
Linköping,60.0,2011-present,Lägenhet,Yes,Yes,2.24
Halmstad,30.0,1951-2000,Lägenhet,No,No,1.3
Stockholm,65.0,1900-1950,Lägenhet,Yes,Yes,5.39
Sundbyberg,46.0,1900-1950,Lägenhet,Yes,Yes,2.88
Malm,70.0,1900-1950,Lägenhet,No,No,2.94
Malm,22.0,1951-2000,Lägenhet,No,No,0.23
Stockholm,60.0,1900-1950,Lägenhet,Yes,No,6.5
Norrtälj,82.0,2011-present,Lägenhet,Yes,Yes,3.25
Stockholm,69.0,2011-present,Lägenhet,Yes,Yes,2.84
Stockholm,110.0,Before 1900s,Lägenhet,No,No,9.69
Hudding,37.0,1951-2000,Lägenhet,Yes,Yes,1.47
Malm,75.0,2011-present,Lägenhet,Yes,Yes,3.48
Stockholm,69.0,2001-2010,Lägenhet,Yes,Yes,6.09
Sundbyberg,46.5,2011-present,Lägenhet,No,No,2.98
Täb,35.9,2001-2010,Lägenhet,Yes,Yes,2.1
Lule,73.5,1951-2000,Lägenhet,Yes,Yes,1.09
Ume,48.0,2011-present,Lägenhet,Yes,Yes,1.64
Helsingborg,74.0,1951-2000,Lägenhet,No,Yes,2.48
Göteborg,81.0,2011-present,Lägenhet,Yes,Yes,5.3
Järfäll,56.0,1951-2000,Lägenhet,No,Yes,1.88
Soln,66.0,2001-2010,Lägenhet,Yes,Yes,3.89
Stockholm,84.0,2011-present,Lägenhet,Yes,Yes,5.5
Stockholm,101.0,1900-1950,Lägenhet,Yes,Yes,11.05
Stockholm,67.0,1900-1950,Lägenhet,No,Yes,5.05
Stockholm,63.0,1900-1950,Lägenhet,No,Yes,7.0
Göteborg,81.0,2011-present,Lägenhet,Yes,Yes,3.39
Göteborg,52.0,2011-present,Lägenhet,Yes,Yes,2.53
Stockholm,25.1,2011-present,Lägenhet,No,Yes,2.14
Stockholm,36.0,Before 1900s,Lägenhet,Yes,No,3.05
Stockholm,32.0,1900-1950,Lägenhet,Yes,Yes,2.79
Stockholm,66.0,1900-1950,Lägenhet,Yes,Yes,3.99
Gotland,65.0,1951-2000,Lägenhet,No,Yes,1.94
Västerå,36.0,1900-1950,Lägenhet,Yes,Yes,0.72
Mölndal,64.0,1951-2000,Lägenhet,No,Yes,2.49
Härnösand,65.5,1951-2000,Lägenhet,No,Yes,0.39
Linköping,72.0,1951-2000,Lägenhet,Yes,Yes,1.74
Uppsal,55.0,1951-2000,Lägenhet,Yes,Yes,1.88
Stockholm,67.0,1951-2000,Lägenhet,Yes,Yes,5.38
Stockholm,28.0,1900-1950,Lägenhet,Yes,Yes,2.39
Trelleborg,44.0,1951-2000,Lägenhet,No,Yes,0.95
Stockholm,40.0,1900-1950,Lägenhet,Yes,Yes,3.9
Linköping,55.0,2011-present,Lägenhet,Yes,Yes,2.34
Stockholm,74.0,1951-2000,Lägenhet,Yes,Yes,4.78
Sundbyberg,43.5,1900-1950,Lägenhet,No,Yes,2.64
Stockholm,72.0,1900-1950,Lägenhet,Yes,Yes,3.06
Stockholm,86.0,1900-1950,Lägenhet,No,No,6.55
Göteborg,90.0,1900-1950,Lägenhet,No,Yes,5.4
Staffanstorp,68.0,1951-2000,Lägenhet,No,Yes,1.6
Göteborg,61.0,1900-1950,Lägenhet,No,Yes,3.01
Linköping,23.3,2011-present,Lägenhet,Yes,Yes,1.4
Nack,60.0,2001-2010,Lägenhet,Yes,Yes,2.79
Göteborg,81.0,1951-2000,Lägenhet,Yes,Yes,4.74
Stockholm,123.0,2011-present,Lägenhet,No,Yes,13.14
Stockholm,43.0,1900-1950,Lägenhet,No,Yes,2.34
Botkyrk,68.5,1951-2000,Lägenhet,No,Yes,1.54
Nack,76.0,2011-present,Lägenhet,Yes,Yes,3.79
Haning,63.0,1951-2000,Lägenhet,Yes,Yes,1.79
Stockholm,60.0,1951-2000,Lägenhet,No,Yes,2.37
Göteborg,65.0,2011-present,Lägenhet,Yes,Yes,2.73
Hudding,79.0,1951-2000,Lägenhet,Yes,Yes,3.14
Hudding,34.0,2011-present,Lägenhet,Yes,No,1.71
Karlstad,55.0,2011-present,Lägenhet,Yes,Yes,2.5
Sollentun,51.5,2001-2010,Lägenhet,Yes,Yes,2.55
Stockholm,26.0,1900-1950,Lägenhet,Yes,No,2.45
UpplandsVäsb,76.0,1951-2000,Lägenhet,No,Yes,2.09
Kungsback,131.0,2011-present,Lägenhet,Yes,Yes,7.05
Upplands-Bro,50.0,2001-2010,Lägenhet,No,Yes,1.55
Soln,94.0,2011-present,Lägenhet,Yes,Yes,3.91
Stockholm,60.0,1951-2000,Lägenhet,Yes,Yes,5.89
Järfäll,37.0,2011-present,Lägenhet,Yes,Yes,2.22
Stockholm,38.0,1900-1950,Lägenhet,Yes,No,3.91
Örebr,84.5,1900-1950,Lägenhet,No,No,2.77
Al,38.0,2011-present,Lägenhet,No,Yes,1.19
Järfäll,67.0,2011-present,Lägenhet,Yes,Yes,2.64
Trelleborg,82.0,1951-2000,Lägenhet,No,Yes,1.44
Sundsvall,72.5,1951-2000,Lägenhet,No,Yes,0.57
Helsingborg,79.0,1951-2000,Lägenhet,Yes,Yes,0.96
Helsingborg,57.0,1951-2000,Lägenhet,Yes,Yes,1.51
Stockholm,72.0,Before 1900s,Lägenhet,Yes,No,9.1
Haning,55.0,1951-2000,Lägenhet,No,Yes,1.74
Stockholm,74.0,1900-1950,Lägenhet,Yes,Yes,7.7
Göteborg,55.0,2011-present,Lägenhet,Yes,Yes,1.55
Göteborg,60.0,1900-1950,Lägenhet,No,Yes,3.19
Stockholm,67.0,Before 1900s,Lägenhet,No,Yes,7.58
Täb,54.0,1951-2000,Lägenhet,Yes,No,2.34
Helsingborg,125.0,1900-1950,Lägenhet,Yes,Yes,4.3
Stockholm,43.0,2011-present,Lägenhet,Yes,Yes,2.13
Uppsal,44.0,1900-1950,Lägenhet,Yes,Yes,2.14
Stockholm,75.0,1900-1950,Lägenhet,Yes,No,10.11
Rättvik,47.5,1951-2000,Lägenhet,No,No,0.53
Österåker,39.3,1951-2000,Lägenhet,No,No,1.33
Stockholm,90.5,2001-2010,Lägenhet,Yes,Yes,8.89
Göteborg,103.0,1951-2000,Lägenhet,No,Yes,3.3
Linköping,57.2,1900-1950,Lägenhet,Yes,Yes,0.99
Stockholm,27.0,1900-1950,Lägenhet,Yes,Yes,2.49
Uppsal,43.5,1900-1950,Lägenhet,No,Yes,1.69
Eskilstun,71.5,1951-2000,Lägenhet,Yes,Yes,1.74
Lule,49.0,1951-2000,Lägenhet,No,Yes,0.89
Jönköping,86.7,1951-2000,Lägenhet,No,Yes,2.64
Stockholm,42.5,1951-2000,Lägenhet,Yes,No,2.65
Stockholm,25.0,2011-present,Lägenhet,Yes,Yes,1.75
Trelleborg,62.5,1951-2000,Lägenhet,No,Yes,0.95
Trollhättan,65.5,1951-2000,Lägenhet,No,Yes,0.3
Skövd,79.0,1951-2000,Lägenhet,No,Yes,1.2
Västerå,61.0,1951-2000,Lägenhet,No,Yes,0.8
Stockholm,85.5,2011-present,Lägenhet,No,Yes,2.3
Göteborg,75.2,1951-2000,Lägenhet,No,Yes,2.3
Malm,40.0,1900-1950,Lägenhet,No,No,1.37
Haning,77.2,1951-2000,Lägenhet,No,Yes,1.94
Täb,58.5,1951-2000,Lägenhet,Yes,Yes,2.3
Järfäll,56.0,1951-2000,Lägenhet,Yes,Yes,1.8
Mölndal,86.0,1951-2000,Lägenhet,No,Yes,2.5
Stockholm,37.0,1900-1950,Lägenhet,No,No,2.77
Stockholm,55.0,2011-present,Lägenhet,No,Yes,2.55
Soln,87.6,1951-2000,Lägenhet,Yes,Yes,3.86
Sundsvall,83.0,1951-2000,Lägenhet,No,Yes,0.8
Uppsal,71.1,2011-present,Lägenhet,Yes,Yes,2.69
Velling,39.0,1900-1950,Lägenhet,No,Yes,1.22
Stockholm,75.0,1951-2000,Lägenhet,Yes,Yes,2.49
Stockholm,93.0,1900-1950,Lägenhet,No,Yes,7.09
Stockholm,57.0,1951-2000,Lägenhet,Yes,Yes,4.05
Österåker,98.0,2001-2010,Lägenhet,Yes,Yes,3.7
Gällivar,81.0,1951-2000,Lägenhet,No,Yes,1.2
Perstorp,51.0,1900-1950,Lägenhet,No,No,0.28
Borläng,102.0,1951-2000,Lägenhet,No,Yes,1.13
Ulricehamn,40.4,1951-2000,Lägenhet,No,Yes,0.71
Sundbyberg,61.0,1951-2000,Lägenhet,Yes,Yes,3.34
Arvik,64.0,1951-2000,Lägenhet,No,Yes,0.86
Skurup,53.0,1900-1950,Lägenhet,No,Yes,1.12
Stockholm,95.0,1951-2000,Lägenhet,Yes,Yes,6.24
Timr,81.5,1951-2000,Lägenhet,No,Yes,0.93
Stockholm,45.0,2001-2010,Lägenhet,Yes,Yes,3.68
Stockholm,39.5,1900-1950,Lägenhet,Yes,No,2.79
Göteborg,126.0,Before 1900s,Lägenhet,No,Yes,7.19
Göteborg,115.0,1900-1950,Lägenhet,Yes,Yes,7.5
Mölndal,61.0,1951-2000,Lägenhet,Yes,Yes,2.54
Göteborg,35.0,Before 1900s,Lägenhet,Yes,No,2.88
Gävl,54.0,2011-present,Lägenhet,No,Yes,0.55
Södertälj,46.0,1951-2000,Lägenhet,Yes,Yes,0.98
Sundsvall,80.4,1951-2000,Lägenhet,Yes,Yes,1.19
Kalma,81.0,2011-present,Lägenhet,No,Yes,1.55
Göteborg,31.0,1900-1950,Lägenhet,No,No,2.35
Ume,54.0,2011-present,Lägenhet,Yes,Yes,1.9
Göteborg,52.0,1900-1950,Lägenhet,No,Yes,3.36
Malm,75.0,1951-2000,Lägenhet,Yes,Yes,2.69
Stockholm,44.0,1900-1950,Lägenhet,No,Yes,3.24
Skellefte,52.5,2011-present,Lägenhet,No,Yes,0.78
Värmd,45.0,2011-present,Lägenhet,Yes,Yes,2.84
Skövd,87.0,1951-2000,Lägenhet,No,Yes,1.1
Lule,75.0,1951-2000,Lägenhet,No,Yes,1.74
Ume,66.5,2011-present,Lägenhet,Yes,Yes,2.05
Kalma,65.0,1951-2000,Lägenhet,No,Yes,1.04
Stockholm,44.0,2011-present,Lägenhet,No,Yes,2.1
Uppsal,82.5,1951-2000,Lägenhet,No,Yes,2.26
Stockholm,41.0,1900-1950,Lägenhet,Yes,Yes,2.85
Stockholm,27.2,1900-1950,Lägenhet,Yes,No,2.59
Norrtälj,44.5,1900-1950,Lägenhet,Yes,Yes,2.09
Göteborg,80.0,2011-present,Lägenhet,Yes,Yes,1.62
Landskron,56.0,1951-2000,Lägenhet,No,Yes,1.1
Göteborg,85.0,2011-present,Lägenhet,Yes,Yes,4.3
Stockholm,35.5,1951-2000,Lägenhet,Yes,Yes,4.15
Lule,56.0,1951-2000,Lägenhet,No,Yes,1.25
Stockholm,43.0,2011-present,Lägenhet,Yes,Yes,3.64
Linköping,77.0,1900-1950,Lägenhet,No,Yes,2.04
Mölndal,59.0,1900-1950,Lägenhet,No,Yes,2.28
Stockholm,58.0,1900-1950,Lägenhet,No,Yes,2.6
Stockholm,96.0,Before 1900s,Lägenhet,Yes,Yes,13.3
Stockholm,79.5,1951-2000,Lägenhet,No,Yes,2.15
Nack,77.0,2001-2010,Lägenhet,Yes,Yes,5.33
Göteborg,72.4,1951-2000,Lägenhet,Yes,No,3.98
Sundbyberg,42.0,1900-1950,Lägenhet,Yes,No,2.35
Stockholm,58.0,1900-1950,Lägenhet,Yes,Yes,4.24
Ystad,82.0,1951-2000,Lägenhet,No,Yes,1.85
Alingså,76.0,2011-present,Lägenhet,Yes,Yes,2.95
Stockholm,101.0,2011-present,Lägenhet,Yes,Yes,8.19
Stockholm,74.0,1951-2000,Lägenhet,No,Yes,2.79
Uppsal,100.0,2001-2010,Lägenhet,Yes,Yes,3.49
Järfäll,49.0,2011-present,Lägenhet,Yes,Yes,2.24
Nyköping,81.0,1951-2000,Lägenhet,No,Yes,1.3
Sundbyberg,59.0,1951-2000,Lägenhet,Yes,Yes,4.07
Stockholm,71.5,1951-2000,Lägenhet,Yes,Yes,3.25
Göteborg,122.5,1951-2000,Lägenhet,No,Yes,3.64
Karlshamn,80.0,1951-2000,Lägenhet,No,Yes,1.29
Nack,72.0,2011-present,Lägenhet,Yes,Yes,5.89
Stockholm,106.0,Before 1900s,Lägenhet,Yes,Yes,11.7
Sundsvall,68.5,1951-2000,Lägenhet,No,Yes,1.22
Göteborg,39.6,1951-2000,Lägenhet,No,Yes,1.16
Stockholm,90.0,1900-1950,Lägenhet,Yes,Yes,9.09
Täb,81.0,1951-2000,Lägenhet,No,Yes,2.39
Stockholm,106.0,1951-2000,Lägenhet,Yes,Yes,10.34
Stockholm,64.0,2011-present,Lägenhet,No,Yes,6.37
Stockholm,35.0,1900-1950,Lägenhet,No,Yes,3.42
Täb,68.0,1951-2000,Lägenhet,Yes,Yes,2.14
Linköping,55.5,1951-2000,Lägenhet,No,Yes,1.54
Tyres,50.5,1951-2000,Lägenhet,Yes,No,1.69
Värnam,88.0,1951-2000,Lägenhet,No,Yes,1.84
Göteborg,77.8,2011-present,Lägenhet,No,Yes,1.79
Enköping,68.0,1951-2000,Lägenhet,Yes,Yes,0.9
Stockholm,24.0,1900-1950,Lägenhet,Yes,Yes,1.79
Liding,102.0,2011-present,Lägenhet,Yes,Yes,10.7
Leksand,61.1,2011-present,Lägenhet,No,Yes,2.0
Sundbyberg,76.0,2011-present,Lägenhet,Yes,Yes,4.84
Sundbyberg,76.0,2011-present,Lägenhet,Yes,Yes,4.84
Västerå,95.5,2011-present,Lägenhet,Yes,Yes,2.59
Uddevall,61.0,1951-2000,Lägenhet,No,Yes,1.02
Stockholm,35.0,1900-1950,Lägenhet,No,Yes,2.19
Stockholm,125.0,2011-present,Lägenhet,Yes,Yes,17.69
Uppsal,66.5,2011-present,Lägenhet,No,Yes,1.8
Göteborg,93.0,2011-present,Lägenhet,Yes,Yes,4.69
Malm,54.5,1900-1950,Lägenhet,No,Yes,2.08
Malm,59.5,1951-2000,Lägenhet,Yes,Yes,0.94
Soln,68.0,2011-present,Lägenhet,No,Yes,3.61
Östhammar,36.0,1951-2000,Lägenhet,No,No,0.46
Göteborg,72.0,1900-1950,Lägenhet,No,No,2.95
Malm,109.0,1951-2000,Lägenhet,Yes,Yes,4.59
Malm,66.0,2011-present,Lägenhet,Yes,Yes,3.19
Kristianstad,44.0,2011-present,Lägenhet,No,Yes,0.8
Göteborg,38.9,1900-1950,Lägenhet,No,No,2.13
Uppsal,33.5,1900-1950,Lägenhet,No,No,1.75
Stockholm,44.0,1900-1950,Lägenhet,No,Yes,2.74
Stockholm,47.0,2011-present,Lägenhet,Yes,Yes,4.7
Malm,44.0,2011-present,Lägenhet,Yes,No,1.9
Stockholm,58.0,1900-1950,Lägenhet,No,Yes,3.72
Göteborg,74.0,1951-2000,Lägenhet,No,Yes,2.91
Avest,58.0,1951-2000,Lägenhet,No,Yes,0.5
Stockholm,35.0,2011-present,Lägenhet,Yes,No,5.14
Lund,24.0,2011-present,Lägenhet,No,Yes,1.8
Stockholm,76.0,1951-2000,Lägenhet,Yes,Yes,4.79
Stockholm,90.0,2011-present,Lägenhet,Yes,Yes,8.49
Göteborg,54.0,1951-2000,Lägenhet,Yes,Yes,2.45
Sundbyberg,39.0,2011-present,Lägenhet,No,No,2.37
Soln,45.0,1900-1950,Lägenhet,Yes,Yes,2.64
Uppsal,56.5,1951-2000,Lägenhet,No,Yes,1.9
Stockholm,52.0,Before 1900s,Lägenhet,No,Yes,5.24
Stockholm,38.0,1900-1950,Lägenhet,No,Yes,3.74
Stockholm,24.0,1900-1950,Lägenhet,Yes,No,2.49
Mölndal,81.5,2011-present,Lägenhet,Yes,Yes,3.79
Sundbyberg,61.0,1900-1950,Lägenhet,Yes,Yes,3.79
Stockholm,32.0,1951-2000,Lägenhet,Yes,Yes,1.83
Ume,106.5,1951-2000,Lägenhet,No,Yes,2.65
Kalma,81.0,1951-2000,Lägenhet,No,Yes,0.99
Järfäll,77.0,1951-2000,Lägenhet,No,Yes,2.45
Avest,83.0,1900-1950,Lägenhet,No,Yes,0.95
Stockholm,165.0,2011-present,Lägenhet,Yes,Yes,19.98
Stockholm,29.0,2011-present,Lägenhet,No,No,2.3
Stockholm,58.5,2001-2010,Lägenhet,Yes,Yes,4.3
Uppsal,45.0,2011-present,Lägenhet,Yes,Yes,1.6
Stockholm,93.0,2001-2010,Lägenhet,Yes,Yes,7.3
Stockholm,20.0,1951-2000,Lägenhet,No,Yes,1.7
Timr,70.0,1951-2000,Lägenhet,No,Yes,0.51
Stockholm,60.0,1900-1950,Lägenhet,Yes,Yes,6.29
Vaxholm,76.0,1951-2000,Lägenhet,No,Yes,2.52
Stockholm,75.5,1951-2000,Lägenhet,No,Yes,2.1
Lule,75.5,1951-2000,Lägenhet,No,Yes,1.49
Stockholm,75.5,1951-2000,Lägenhet,Yes,Yes,3.24
Sundbyberg,42.0,1900-1950,Lägenhet,Yes,Yes,2.54
Järfäll,51.0,2011-present,Lägenhet,Yes,Yes,2.14
Nyköping,55.0,1951-2000,Lägenhet,No,Yes,0.94
Stockholm,48.0,1951-2000,Lägenhet,Yes,No,1.85
Västerå,80.5,1951-2000,Lägenhet,No,Yes,1.5
Stockholm,80.0,2011-present,Lägenhet,Yes,Yes,3.98
Stockholm,46.0,Before 1900s,Lägenhet,No,Yes,4.79
Stockholm,28.0,1900-1950,Lägenhet,No,No,2.92
Västerå,80.8,1951-2000,Lägenhet,No,Yes,1.3
Oxelösund,29.0,1951-2000,Lägenhet,No,No,0.21
Malm,89.0,1951-2000,Lägenhet,No,Yes,1.5
Stockholm,76.0,1900-1950,Lägenhet,Yes,Yes,6.74
Burlöv,59.5,1951-2000,Lägenhet,Yes,Yes,1.32
Stockholm,63.5,Before 1900s,Lägenhet,Yes,Yes,7.49
Västerå,124.5,2001-2010,Lägenhet,Yes,Yes,4.64
Göteborg,75.5,1951-2000,Lägenhet,Yes,Yes,1.73
Malm,54.0,2011-present,Lägenhet,Yes,Yes,1.79
Stockholm,25.3,1900-1950,Lägenhet,No,No,2.75
Örebr,55.0,2011-present,Lägenhet,No,Yes,1.63
Västerå,83.0,1900-1950,Lägenhet,No,Yes,1.7
Stockholm,72.0,Before 1900s,Lägenhet,Yes,Yes,8.15
Botkyrk,94.0,2011-present,Lägenhet,Yes,Yes,3.0
Stockholm,66.0,2001-2010,Lägenhet,Yes,Yes,5.6
Göteborg,52.0,1900-1950,Lägenhet,No,No,2.69
Värmd,49.0,2011-present,Lägenhet,Yes,Yes,1.94
Sigtun,62.9,1951-2000,Lägenhet,Yes,Yes,1.53
Uppsal,101.0,2011-present,Lägenhet,Yes,Yes,4.89
Uppsal,102.0,2001-2010,Lägenhet,Yes,Yes,3.98
Göteborg,105.0,1951-2000,Lägenhet,Yes,Yes,5.9
Karlskog,47.0,1900-1950,Lägenhet,No,Yes,0.42
Söderhamn,68.5,1951-2000,Lägenhet,Yes,Yes,1.35
Stockholm,41.0,1900-1950,Lägenhet,Yes,Yes,3.29
Soln,68.0,2011-present,Lägenhet,Yes,Yes,2.77
Norrtälj,22.0,1900-1950,Lägenhet,No,No,0.85
Borå,75.0,1951-2000,Lägenhet,No,Yes,1.33
Uppsal,38.0,2011-present,Lägenhet,Yes,Yes,1.56
Sundbyberg,101.0,2011-present,Lägenhet,Yes,Yes,6.69
Partill,80.0,2011-present,Lägenhet,Yes,Yes,3.94
Västerå,76.0,1900-1950,Lägenhet,Yes,Yes,1.04
Lund,97.0,1951-2000,Lägenhet,No,Yes,3.0
Järfäll,25.5,2011-present,Lägenhet,Yes,Yes,1.3
Stockholm,64.0,2011-present,Lägenhet,Yes,Yes,4.3
Sundsvall,55.0,1900-1950,Lägenhet,No,Yes,0.94
Göteborg,83.0,1951-2000,Lägenhet,Yes,Yes,4.38
Sundsvall,58.0,2011-present,Lägenhet,No,Yes,0.9
Jönköping,81.0,1951-2000,Lägenhet,No,Yes,2.09
Göteborg,57.6,1900-1950,Lägenhet,No,No,2.8
Lomm,50.0,2011-present,Lägenhet,Yes,Yes,3.35
Lund,51.0,2011-present,Lägenhet,Yes,Yes,2.71
Soln,59.0,1951-2000,Lägenhet,Yes,Yes,2.54
Ulricehamn,60.0,1951-2000,Lägenhet,No,Yes,1.5
Göteborg,55.9,1951-2000,Lägenhet,Yes,Yes,1.02
Göteborg,55.9,1951-2000,Lägenhet,Yes,Yes,1.02
Växj,76.5,2011-present,Lägenhet,Yes,Yes,2.3
Järfäll,56.0,2001-2010,Lägenhet,Yes,Yes,1.92
Arvik,63.4,1951-2000,Lägenhet,Yes,Yes,0.44
Järfäll,75.0,2011-present,Lägenhet,Yes,Yes,2.09
Stockholm,88.0,2011-present,Lägenhet,No,Yes,3.0
Gävl,56.0,1900-1950,Lägenhet,No,Yes,1.0
Växj,60.1,2011-present,Lägenhet,No,Yes,1.72
Borå,60.0,2011-present,Lägenhet,Yes,Yes,2.0
Stockholm,80.0,1951-2000,Lägenhet,Yes,Yes,2.0
Sandviken,40.5,1900-1950,Lägenhet,No,Yes,0.36
Göteborg,126.0,1900-1950,Lägenhet,Yes,Yes,10.0
Täb,65.4,1951-2000,Lägenhet,Yes,Yes,2.3
Hudding,60.0,1951-2000,Lägenhet,Yes,No,2.66
Göteborg,22.0,2011-present,Lägenhet,No,No,1.99
Göteborg,56.0,1951-2000,Lägenhet,No,Yes,2.28
Motal,50.0,1900-1950,Lägenhet,No,Yes,0.82
Täb,120.0,2011-present,Lägenhet,Yes,Yes,6.6
Göteborg,70.0,2011-present,Lägenhet,Yes,Yes,2.68
Skar,31.0,1951-2000,Lägenhet,No,No,0.13
Linköping,67.0,1951-2000,Lägenhet,No,Yes,1.34
Stockholm,50.0,2011-present,Lägenhet,Yes,Yes,4.5
Sollentun,46.0,2011-present,Lägenhet,Yes,Yes,2.75
Göteborg,50.0,1900-1950,Lägenhet,No,No,2.12
Nack,69.0,2011-present,Lägenhet,No,Yes,3.2
Malm,62.0,1951-2000,Lägenhet,No,Yes,2.34
Stockholm,23.0,2011-present,Lägenhet,Yes,Yes,2.64
Järfäll,41.0,2011-present,Lägenhet,Yes,Yes,1.8
Stockholm,87.0,1900-1950,Lägenhet,Yes,Yes,5.93
Stockholm,36.0,1900-1950,Lägenhet,Yes,Yes,3.19
Stockholm,31.0,2011-present,Lägenhet,Yes,No,2.55
Skellefte,52.5,1951-2000,Lägenhet,No,Yes,1.2
Stockholm,84.0,1900-1950,Lägenhet,Yes,Yes,5.69
Stockholm,56.0,1900-1950,Lägenhet,No,Yes,2.74
Nack,58.5,1900-1950,Lägenhet,No,Yes,2.44
Kalma,55.5,1951-2000,Lägenhet,No,Yes,0.55
Göteborg,83.0,1900-1950,Lägenhet,No,Yes,3.85
Malm,54.0,1900-1950,Lägenhet,Yes,No,2.8
Helsingborg,60.0,1900-1950,Lägenhet,Yes,Yes,1.59
Skellefte,98.0,1951-2000,Lägenhet,No,Yes,0.45
Helsingborg,50.5,1951-2000,Lägenhet,Yes,Yes,1.4
Mjölb,83.5,1951-2000,Lägenhet,Yes,Yes,1.4
Malm,65.0,1951-2000,Lägenhet,Yes,Yes,1.25
Stockholm,82.0,2001-2010,Lägenhet,Yes,Yes,6.39
Botkyrk,30.0,Before 1900s,Lägenhet,No,No,1.24
Göteborg,66.0,1951-2000,Lägenhet,No,Yes,2.5
Nack,87.5,2011-present,Lägenhet,Yes,Yes,5.5
Stockholm,95.0,Before 1900s,Lägenhet,Yes,Yes,8.39
Borläng,55.0,2011-present,Lägenhet,No,Yes,1.12
Östersund,41.5,1951-2000,Lägenhet,No,Yes,0.45
Uppsal,37.0,1900-1950,Lägenhet,No,Yes,1.36
Oxelösund,73.5,1951-2000,Lägenhet,Yes,Yes,0.75
Helsingborg,102.5,2011-present,Lägenhet,No,Yes,1.22
Uppsal,81.3,1951-2000,Lägenhet,Yes,Yes,2.47
Uppsal,77.0,2011-present,Lägenhet,Yes,Yes,2.4
Hudding,46.2,1951-2000,Lägenhet,Yes,Yes,1.59
Järfäll,83.0,Before 1900s,Lägenhet,Yes,Yes,4.37
Göteborg,53.0,1951-2000,Lägenhet,Yes,Yes,2.5
Kungälv,34.0,2011-present,Lägenhet,Yes,Yes,2.16
Göteborg,69.0,2011-present,Lägenhet,Yes,Yes,2.94
Hudding,88.8,2011-present,Lägenhet,No,Yes,2.39
Linköping,64.0,2011-present,Lägenhet,No,Yes,1.36
Göteborg,81.5,1951-2000,Lägenhet,Yes,Yes,2.11
